# group  group_size  exttype  extval  t  delta  Q_T  file
BI  120  angle  0.22449  50  0.840963972246088876  27.6403765042  qcoGBIN0T50exttypeangleextval0.22449f1s0v0.0.0.txt
BI  120  angle  0.22472  50  0.840652525173979481  27.5813918024  qcoGBIN0T50exttypeangleextval0.22472f1s0v0.0.0.txt
BI  120  angle  0.225  50  0.840270643733354028  27.5093806693  qcoGBIN0T50exttypeangleextval0.225f1s0v0.0.0.txt
BI  120  angle  0.22581  50  0.839172081795194758  27.3041272117  qcoGBIN0T50exttypeangleextval0.22581f1s0v0.0.0.txt
BI  120  angle  0.22619  50  0.838647815430301091  27.2071566117  qcoGBIN0T50exttypeangleextval0.22619f1s0v0.0.0.txt
BI  120  angle  0.22642  50  0.838340828107747238  27.1506660457  qcoGBIN0T50exttypeangleextval0.22642f1s0v0.0.0.txt
BI  120  angle  0.22667  50  0.837996703767838524  27.0875954650  qcoGBIN0T50exttypeangleextval0.22667f1s0v0.0.0.txt
BI  120  angle  0.22727  50  0.837166382902839845  26.9365100188  qcoGBIN0T50exttypeangleextval0.22727f1s0v0.0.0.txt
BI  120  angle  0.22807  50  0.836071073184598168  26.7395415691  qcoGBIN0T50exttypeangleextval0.22807f1s0v0.0.0.txt
BI  120  angle  0.22826  50  0.835808683551574894  26.6927453469  qcoGBIN0T50exttypeangleextval0.22826f1s0v0.0.0.txt
BI  120  angle  0.22857  50  0.835380977335742569  26.6167843565  qcoGBIN0T50exttypeangleextval0.22857f1s0v0.0.0.txt
BI  120  angle  0.22951  50  0.834087953913680624  26.3895169677  qcoGBIN0T50exttypeangleextval0.22951f1s0v0.0.0.txt
BI  120  angle  0.22973  50  0.833781536835149106  26.3361764741  qcoGBIN0T50exttypeangleextval0.22973f1s0v0.0.0.txt
BI  120  angle  0.22989  50  0.833566548104269334  26.2988685427  qcoGBIN0T50exttypeangleextval0.22989f1s0v0.0.0.txt
BI  120  angle  0.23  50  0.833407379753641320  26.2713092132  qcoGBIN0T50exttypeangleextval0.23f1s0v0.0.0.txt
