[2] [4] [6] [8] [10] [12] [14] [16] [18] [20] [22] [24] [26] [28] [30] [32] [34] [36] [38] [40] [42] [44] [46] [48] [50] [52] [54] [56] [58] [60] [62] [64] [66] [68] [70] [72] [74] [76] [78] [80] [82] [84] [86] [88] [90] [92] [94] [96] [98] [100] 
0.04499802604384831 0.16935650414757394 0.2070157699607296 0.12133625189088561 0.1645413859108347 0.22917265266918446 0.18608925318956349 0.15491156858100436 0.2767684563731943 0.10318115260521576 0.18236930304857157 0.14001771301259083 0.253922440991245 0.2886227560494442 0.24889697384184892 0.25515717362795964 0.25538753566921957 0.176998230796172 0.26795146237626377 0.3097370796341158 0.32042263604297383 0.23595730506022877 0.24893992146079552 0.201914758527583 0.3116319773379 0.2592476263662226 0.23387417131937166 0.23523765565349133 0.27418285660690944 0.4004840852222836 0.20218336911803053 0.22193097702027528 0.3074709153209526 0.26731995475166426 0.29243508053257394 0.2883280261020765 0.1944400744157509 0.23793063485066865 0.2787124738169132 0.24333292822647581 0.24070741139398555 0.25694403532103566 0.2529452202980793 0.22663475333988753 0.2797779148804173 0.29861287510630014 0.26766119609423666 0.22298718601124853 0.29977565380038956 0.30044265155757444 
0.5296637766911539 0.012819576604967962 0.24075380404463065 0.13584618064625106 0.1946972485106632 0.22771597835146837 0.19863086804990437 0.20592338666539098 0.2693725455249564 0.398008509179703 0.4422044179030308 0.2949392641146138 0.24848299164925197 0.19079593265723346 0.25766378931828643 0.2664949151656255 0.29686775212336297 0.3303121591118423 0.29990441312853333 0.2181988730896858 0.2896024377351721 0.28809475671107193 0.24493745206761447 0.20048664285848794 0.21414379189062274 0.27609846930436344 0.238230109245463 0.235369379641871 0.24895898161305124 0.24110035376865316 0.21789740897208004 0.26257726076517807 0.26039585946635 0.22111250929696497 0.22165367708627143 0.19717989942197908 0.2714908912115134 0.2352365407146931 0.2334429165004264 0.24769015531905456 0.23494600476044863 0.20443926067074739 0.18863439298334211 0.2111176834349257 0.21243663973967705 0.20639565158195147 0.22253180108888157 0.20235353782430118 0.25107513434977097 0.24066273726715273 
0.19137167830966498 0.24890139231949532 0.04726658069463547 0.2727642003876057 0.16914764471736418 0.2367064968368441 0.14333389317132914 0.20177696019933344 0.18909269811135915 0.2038021817142518 0.2749281747498236 0.12689427341216603 0.2084226476082701 0.24733547920501367 0.3148978033902316 0.18097022947635263 0.2479203196285113 0.25118648732715676 0.25797941889890386 0.18599696720919062 0.17625212633949366 0.16862350377007573 0.2278251373000196 0.2692980698707441 0.21778881094529084 0.22948939332593235 0.2408784053090384 0.23980478057596163 0.24524830608046735 0.21287346585574374 0.22647701135422685 0.24651724818827384 0.2691198320456622 0.25721354883890685 0.24858551717498634 0.28446615126661995 0.2655467224244179 0.20726453775901174 0.23423412861312623 0.2605661079377651 0.2869732865968987 0.25398673882807427 0.2508284426162156 0.2382426912456455 0.3244681109807616 0.24166973901865885 0.18111501798811064 0.24105181215639707 0.236781429894536 0.2577030505506828 
0.022353630723072136 0.1856883889144505 0.18892078150236127 0.08652131137444544 0.14300633366877002 0.18758043380462508 0.10779728607633195 0.14986666651759228 0.2988093586035475 0.11654651026489447 0.21225144509586502 0.10524740509736433 0.28276075239712395 0.27018450279024764 0.29031135093402244 0.19887675310571995 0.23807491016545476 0.18523788438976 0.27154334403807984 0.18305154555305803 0.18644447587226345 0.26879462225881173 0.2363764466208429 0.3344321377421597 0.19031936474973712 0.2359494396063884 0.22629844704457258 0.21319831306001885 0.2255418108895384 0.23025400114998237 0.19427917667261224 0.2026502949199506 0.21046679285424785 0.24094444915146263 0.2064521863248344 0.27858445430414236 0.2295914104892166 0.2301838526477254 0.24210583082141013 0.24631535286974598 0.22189987312231763 0.21270341823023006 0.22648983333439504 0.22651439025540124 0.25228574313340285 0.22869022269752323 0.2189513812056698 0.23234505145153955 0.24117662017709787 0.23145419640139597 
0.2992159045614462 0.14068382631341103 0.06628142444847183 0.015078804280339766 0.10654009551907832 0.15683036306783182 0.08429833349592301 0.3111741336167654 0.3229861672203207 0.20198120282267729 0.25298964391154577 0.22586664074361126 0.15068700334601795 0.21871673722843804 0.21048306368390457 0.1736041716577426 0.26532710951400335 0.2774398143671426 0.32114212951452636 0.1927322733210019 0.19722090454080315 0.20873026655183796 0.2740629661981949 0.2615247993478334 0.24412223136219632 0.2629569283517518 0.2629279419792185 0.21260073306278984 0.24798969563695134 0.27275778937781364 0.2654176467308928 0.243132107487559 0.24498691919329232 0.24045632008468995 0.21372505921715143 0.26637541150739885 0.25125036378239574 0.2483981487934086 0.24243262809605207 0.27647950191291276 0.259761271185961 0.28165410553601644 0.24085740554444535 0.23121910202330972 0.210832766985344 0.25576549824828265 0.24293059297431485 0.2663439508534359 0.23195395799557644 0.2671005903624173 
0.05592732577584124 0.16081344615130871 0.27163947178402165 0.21878035469715112 0.16382183644674528 0.7094160207623357 0.18454399840019725 0.2163664954995824 0.21981386749323814 0.3498630807232543 0.20631867305763824 0.1684436551893796 0.17060646707197316 0.1454456018092384 0.1397419858291733 0.1851837999919625 0.23903796985963402 0.22184015056282233 0.1963485018136255 0.23858905418673262 0.2591113786498657 0.2821239873401732 0.2543221180760747 0.2207100085305148 0.24352856381019386 0.20581610525272226 0.24491500330400745 0.2042662481510482 0.2184525292586142 0.24195643195085093 0.22444108092335627 0.2431085523512336 0.218180587567545 0.18365811888712716 0.3019523140181775 0.24006088734532707 0.24497836261826117 0.257056333746755 0.22897154121488042 0.28512827996412493 0.2669314773861273 0.2871030377612145 0.2885906526403089 0.2304087895542065 0.21786753129354836 0.27122614894375224 0.2823083131008198 0.2425439055807888 0.2298123469417262 0.2662554559715776 
0.31941317677519526 0.1752925055608369 0.2070613572296436 0.13154549121657758 0.13937140645132795 0.24312675278091844 0.1516275428409706 0.09485516734099009 0.16962723112526443 0.23131782226864733 0.3808748579062519 0.15594806125136196 0.2075114615772647 0.1903841402196235 0.18583625800951917 0.40674013438306955 0.4126452071938886 0.28120695585751054 0.19955445078616782 0.25059535267945265 0.38243979064224193 0.24458421282140413 0.21565360968845157 0.20133932951296565 0.21319585486109197 0.307404465441916 0.3625589917364064 0.34409210531617246 0.2883206136778334 0.2817497652921137 0.20593706385561567 0.27783294715698564 0.26782076491544865 0.23522171885680218 0.28152353118967566 0.27114038294945564 0.22239918651870894 0.35894372763831844 0.2921268677821893 0.310335652974126 0.21952727672375508 0.24422564418842202 0.2838047117973708 0.306124702416981 0.2932076622898802 0.27176827561992795 0.3253902314306207 0.25622614770564794 0.31531016611045426 0.2326356527882272 
0.19890441822473162 0.009444007404387104 0.3267863181024787 0.19653362312242195 0.21988834026311244 0.12384614606570676 0.07994315420369988 0.13602896916400534 0.18262318346571513 0.23917572845258028 0.22463764122402496 0.20609255534568666 0.18108785045756431 0.2376648145359833 0.3181030043572228 0.24131158638340966 0.2281586867085409 0.23621041033517218 0.15819703316494205 0.22322973858882747 0.2723479736888144 0.21149273825073273 0.25330294493221794 0.18664048571566172 0.24771533130130344 0.2862353302839436 0.21542599069124252 0.25182085902056495 0.24522739401334073 0.3112396701465193 0.26974631873246685 0.21629025411616762 0.24650986330635402 0.20218699284210948 0.2654629412730311 0.23707370325273763 0.2615552700529809 0.21654178945564087 0.2575123251937103 0.2984642648601194 0.21657405330528184 0.24262653897560588 0.22987701889257203 0.21691516176262285 0.23362346667934597 0.2301579924870177 0.23556752801855563 0.24645487658348722 0.25196903684679767 0.24945453775862816 
0.3465096612166151 0.19178169516035304 0.18673728340162538 0.23884774723899616 0.29430241608697794 0.19145904858797042 0.1784661234349929 0.2538261557910544 0.23038505907212745 0.16909294676559627 0.15958162673008808 0.14086796741623833 0.13328790001953436 0.18705290575835756 0.29533863820519185 0.25181077398587925 0.2328189388510069 0.18402807976669705 0.21615773411898515 0.2386959664888711 0.28159775214069244 0.26483722783864405 0.26733262474094976 0.3095600391690447 0.2580788938753026 0.2714495734138119 0.2829271891795131 0.23144972239139025 0.17425827731424023 0.22675676538146056 0.20798407679704697 0.24031270745732133 0.2566014499463285 0.2507755961727695 0.25522388728053436 0.2858493509182664 0.31152633030545873 0.24114160185575773 0.28360946225188605 0.19607913883502315 0.2626167775440282 0.27901302334779216 0.23873127986381584 0.22682511968567484 0.2044637911806324 0.2122360639794347 0.24936234654258674 0.24812536979831573 0.25205685643241443 0.2789260804218846 
0.8351547776900108 0.5543774382432054 0.23851413063679444 0.031319784342687826 0.19494623001517525 0.2367844876263591 0.1841470307300019 0.09233076399005348 0.17946290460087957 0.24426455727599267 0.2377712996883343 0.1616154338428867 0.12732875092679777 0.17107809257222578 0.20432083678624885 0.19185252882814077 0.20243531478418064 0.2385839346036062 0.2587292755752985 0.2545798744303789 0.19410806717849183 0.1615187843075075 0.18723977710430145 0.21069102839329548 0.21555894738307313 0.2310992467443165 0.2787877130410358 0.2726712524864532 0.23164800805485236 0.21994260275052435 0.23893847394017304 0.22322157489613637 0.2215707224438128 0.24388349026757544 0.24903944746812023 0.2927409061502476 0.29682622538018666 0.2820282197496482 0.2796213916096668 0.23665732589393357 0.18977111795962917 0.15571932927634377 0.1570903818173582 0.2043971389068687 0.2332202398987236 0.2343222669035106 0.2238682812011617 0.22246549539344462 0.21200309660271804 0.20996170120419305 
